xtf_id,UID,Nummer,Abkuerzung,Name_oeV,Name_HR,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_BearbeitungsDatum,Gueltigkeit_Stand
ch14uvag00001244,,2538,,Holding Drinatrans" a.d.",Holding Drinatrans" a.d.",18000101,,20220331,20220508
ch14uvag00001315,,2611,,Naisturs Inc. d.o.o.,Naisturs Inc. d.o.o.,18000101,,20220331,20220508
ch14uvag00000987,CHE-103.984.529,369,WTZ,Walter Tschannen Zofingen,Walter Tschannen AG,19971222,,20220331,20220508
ch14uvag00001082,,2307,,Slovenska Autobusova Doprova,Slovenska Autobusova Doprova,18000101,,20220331,20220508
ch14uvag00000570,,1240,ITLN,Impianti turistici Leontica-Nara,Comune di Acquarossa,18000101,,20220331,20220508
ch14uvag00107775,,3007,TEECL,Verein TEE-CLASSICS,Verein TEE-CLASSICS,18000101,,20220331,20220508
ch14uvag00001094,,2334,,A Giromundo Viagens e Turismo Lda.,A Giromundo Viagens e Turismo Lda.,18000101,,20220331,20220508
ch14uvag00224158,,2746,,Volpi Licurgo S.r.l.,Volpi Licurgo S.r.l.,18000101,,20220331,20220508
ch14uvag00001088,,2318,,Bosna E.&E. Tours,Bosna E.&E. Tours,18000101,,20220331,20220508
ch14uvag00000495,CHE-105.949.975,129,FB,Forchbahn AG,Forchbahn AG,18000101,,20220331,20220508
ch14uvag00248809,,20402,#LEER,Feyco AG,Feyco AG,18000101,,20220331,20220508
ch14uvag00248810,CHE-112.044.766,20500,STAST,Stadler Stahlguss AG,Stadler Stahlguss AG,18000101,,20220331,20220508
ch14uvag00000890,CHE-414.951.903,1314,TLFC,TéléLaFouly-ChampexLac SA,TéléLaFouly-ChampexLac SA,20131119,,20220331,20220508
ch14uvag00248811,,20668,#LEER,Politische Gemeinde Bauma,Politische Gemeinde Bauma,18000101,,20220331,20220508
ch14uvag00001162,,2447,,B.Menchen GmbH & Co. KG,B.Menchen GmbH & Co. KG,18000101,,20220331,20220508
ch14uvag00221606,,3089,XPS,Lineas SA/NV,Lineas SA/NV,18000101,,20220331,20220508
ch14uvag00248812,,20497,#LEER,Hoffmann Neopac AG,Hoffmann Neopac AG,18000101,,20220331,20220508
ch14uvag00248813,CHE-102.285.073,1368,THOKG,Thommen AG Köniz & Givisiez,Thommen AG Köniz & Givisiez,18000101,,20220331,20220508
ch14uvag00000863,CHE-102.159.528,1219,SWG,Seilbahn Wildhaus - Gamplüt ,Gamplüt Koller AG,19900111,,20220331,20220508
ch14uvag00000431,CHE-105.969.328,2882,CMS,Christoph Merian Stiftung ,Christoph Merian Stiftung ,18000101,,20220331,20220508
ch14uvag00166363,CHE-104.444.537,3076,CATRR,Caterpillar SARL,Caterpillar SARL,18000101,,20220331,20220508
ch14uvag00224711,CHE-112.997.175,801,BRER,Busbetrieb Rapperswil - Eschenbach - Rüti,Schneider Linienbus AG,20060627,,20220331,20220508
ch14uvag00165863,,2702,,Transmarian s.r.l.,Transmarian s.r.l.,18000101,,20220331,20220508
ch14uvag00001152,,2437,,Lubina Busfahrten GmbH,Lubina Busfahrten GmbH,18000101,,20220331,20220508
ch14uvag00000467,,2881,ECCO,Ecco-Rail GmbH,Ecco-Rail GmbH,18000101,,20220331,20220508
ch14uvag00248814,,20580,SHB,SHB Steinbruch Blausee-Mitholz AG,SHB Steinbruch Blausee-Mitholz AG,18000101,,20220331,20220508
ch14uvag00248815,,20303,#DEROILROM,Deroil SA,Deroil SA,18000101,,20220331,20220508
ch14uvag00166334,,3075,WSG,waggonservice WSG mbH,waggonservice WSG mbH,18000101,,20220331,20220508
ch14uvag00001153,,2438,,Heinz Geis,Heinz Geis,18000101,,20220331,20220508
ch14uvag00000670,CHE-105.945.374,131,MGI,Matterhorn Gotthard Infrastruktur AG,Matterhorn Gotthard Infrastruktur AG,18000101,,20220331,20220508
ch14uvag00107831,CHE-420.087.756,1316,PAGT,Pradaschier AG Top,Pradaschier AG Top,20141020,,20220331,20220508
ch14uvag00001183,,2471,,LDI - Trans s.r.o.,LDI - Trans s.r.o.,18000101,,20220331,20220508
ch14uvag00000694,CHE-371.630.966,338,OBSM,Ortsbus St. Moritz,Gemeinde St. Moritz,18000101,,20220331,20220508
ch14uvag00248816,CHE-105.938.109,20346,DELIC,Delica AG,Delica AG,18000101,,20220331,20220508
ch14uvag00225147,CHE-415.055.15,3106,TRON,Tronos AG,Tronos AG,20191223,,20220331,20220508
ch14uvag00001078,,2281,,Autoservizi Ventre di Michele Ventre,Autoservizi Ventre di Michele Ventre,18000101,,20220331,20220508
ch14uvag00000779,CHE-105.858.746,1181,SBP,Sportbahnen Pischa AG (LDP),Sportbahnen Pischa AG (LDP),18000101,,20220331,20220508
ch14uvag00224183,,648,BERF,Franco Bernasconi,Franco Bernasconi,18000101,,20220331,20220508
ch14uvag00248817,,20549,#LEER,Fermenta S.A.,Fermenta S.A.,18000101,,20220331,20220508
ch14uvag00000786,CHE-101.344.371,2928,SCKL,"Schröder & Klaus GmbH + Co. KG, Thedinghausen, Zweigniederlassung Luzern","Schröder & Klaus GmbH + Co. KG, Thedinghausen, Zweigniederlassung Luzern",18000101,,20220331,20220508
