name,Lat,Long,Ladentyp,GMDNAME
Küssnacht ,47.3168924,8.5800114,soca,Küsnacht (ZH)
Küssnacht ,47.3185861,8.5821107,m,Küsnacht (ZH)
Küssnacht ,47.0836743,8.4412034,mm,Küssnacht (SZ)
La Charrière,47.112343,6.8354115,m,La Chaux-de-Fonds
La Neuveville,47.0618892,7.0886002,m,La Neuveville
La Roche,46.6980151,7.1419287,m,La Roche
La Tour de Trême,46.6004826,7.0758334,mm,Gruyères
La Vallée,46.6058382,6.2305712,m,Le Chenit
Lachen,47.1917747,8.8549009,mm,Lachen
Landquart,46.9677876,9.561865,mm,Landquart
Landquart,46.9703193,9.5920821,shell,Malans
Langendorf ,47.2184063,7.5113259,mmm,Langendorf
Langenthal,47.2143024,7.7841656,mm,Langenthal
Langenthal ,47.2193025,7.7880675,fm,Langenthal
Langnau am Albis,47.2911414,8.5376553,m,Langnau am Albis
Langnau im Emmental,46.9398058,7.787702,mm,Langnau im Emmental
Laufen ,47.419968,7.5018211,mm,Laufen
Lausanne,46.517094,6.605965,soca,Prilly
