name,Long ,Lat,Ladentyp
Kloten,8.582302,47.4505,mm
Kollbrunn,8.7707847,47.4578401,m
Konolfingen,7.6211259,46.8764297,mm
Kreuzlingen,9.1756501,47.6481842,m
Kreuzlingen,9.2005749,47.6398924,mgls
Kreuzlingen,9.1649149,47.654965,soca
Kreuzlingen - Seepark,9.1960063,47.6418058,mm
Kriens,8.2993812,47.0265464,shell
Kriens,8.2649154,47.0342359,mgls
Kriens - Hofmatt,8.2829724,47.0337928,mm
Kriens - Mattenhof,8.30067,47.0267443,m
Kölliken,8.0302701,47.3298578,mig
Köniz - Bläuacker,7.414453,46.9235082,mm
Küsnacht Berg,8.5800114,47.3168924,soca
Küsnacht ZH,8.5821107,47.3185861,m
Küssnacht - Rigimärt,8.4412034,47.0836743,mm
La Charrière,6.8354115,47.112343,m
La Chaux-de-Fonds - Métropole Centre,6.8273056,47.1000474,mmm
La Chaux-de-Fonds Les Eplatures,6.8030468,47.0900296,mm
La Neuveville,7.0886002,47.0618892,m
La Roche,7.1419287,46.6980151,m
La Tour de Trême,7.0758334,46.6004826,mm
La Tour-de-Peilz,6.8579143,46.4525336,m
La Tour-de-Trême,7.0751656,46.6007953,mgls
La Tour-de-Trême Tivoli,7.0633925,46.6106241,m
La Vallée,6.2305712,46.6058382,m
Lachen,8.8549009,47.1917747,mm
Lancy-Onex,6.1100997,46.1885214,mm
Landquart,9.561865,46.9677876,mm
Landquart,9.5920821,46.9703193,shell
Langendorf - Ladedorf,7.5113259,47.2184063,mmm
Langenthal,7.7841656,47.2143024,mm
Langenthal - MParc,7.7880675,47.2193025,fm
Langnau a. A.,8.5376553,47.2911414,m
Langnau i.E.,7.787702,46.9398058,mm
Laufen - Birscenter,7.5018211,47.419968,mm
Lausanne,6.605965,46.517094,soca
Lausanne - Bellevaux,6.6333517,46.5376065,m
Lausanne - Bergières,6.618466,46.5314548,mm
Lausanne - Chailly,6.6515176,46.5273163,mm
Lausanne - Closelet,6.6327124,46.5148689,mm
Lausanne - Cour,6.6176221,46.5157505,m
Lausanne - Flon Europe,6.6296469,46.5206694,m
Lausanne - La Borde,6.6331596,46.527164,m
Lausanne - La Harpe,6.62609,46.5124378,m
Lausanne - La Maladière,6.6073333,46.5170701,shell
Lausanne - La Sallaz,6.6467899,46.5333108,m
Lausanne - Maupas,6.6230282,46.5253972,dmp
Lausanne - Montbenon,6.6258276,46.5195069,shell
Lausanne - Métropole,6.6269854,46.5227583,mmm
Lausanne - Saint-Paul,6.615942,46.5277032,m
Lausanne - Sévelin,6.6166202,46.5216627,m
Le Bouveret,6.8606288,46.3773421,m
Le Châble,7.2140344,46.080919,dmp
Le Landeron,7.0607499,47.0563834,m
Le Lignon,6.0963765,46.2034469,m
Le Lignon,6.1094413,46.2064893,shell
Le Locle,6.7477529,47.0561079,mm
Le Locle,6.7606997,47.0637861,soca
Lenzburg,8.1768398,47.3870206,mm
Lenzburg - Bahnhof,8.1703375,47.3911132,mig
Leuk,7.6342235,46.3166844,dmp
Leukerbad,7.6252028,46.377942,m
Leysin,7.0155421,46.3452121,dmp
Leytron,7.2085967,46.1872356,dmp
Liestal,7.7359876,47.4825911,mm
Liestal,7.731261,47.4851282,mig
Ligornetto,8.9436371,45.8646321,pica
Littau Outlet,8.2601648,47.0497563,spez
Locarno,8.7897896,46.1670338,soca
Locarno - Mercato,8.7957267,46.1656809,mm
Locarno - Solduno,8.7824201,46.1684941,m
Lostorf,7.9478151,47.3831117,m
Lugano - Cassarate-Lago,8.9657425,46.0061779,mm
Lugano - Città,8.9517478,46.0070314,mmm
Lugano - Molino Nuovo,8.9586482,46.0183828,m
Lugano - Paradiso,8.9457919,45.9909707,m
Lugano - Via Trevano,8.956658,46.0184296,pica
Lugano-Viganello,8.9634004,46.0106009,pica
Lupfig,8.2085453,47.4401518,m
Lutry – La Conversion,6.6782126,46.51285,m
Luzern - Allmend,8.304944,47.031586,m
Luzern - Bahnhof,8.3103365,47.0501738,m
Luzern - Bahnhof Daily,8.3097035,47.0497659,m
Luzern - Bruchstrasse,8.299126,47.050865,m
Luzern - Brüelstrasse,8.3402123,47.0544761,m
Luzern - Grossmatte,8.2633687,47.0494761,m
Luzern - Schlossberg,8.3078217,47.0611806,m
Luzern - Schweizerhof,8.3096768,47.054745,mm
Luzern - Schönbühl,8.3283997,47.0372897,mm
