Gemeinde,lat,long,name
 Effretikon,47.4285622,8.6859837,Denner Filiale
 Malvaglia,46.41197,8.97762,Denner Satellit
 Champagne,46.8335457,6.6552215,Denner Partner
 Thun,46.7547035,7.6273685,Denner Filiale
 Taverne,46.062333,8.929052,Denner Satellit
 Luzern,47.0563583,8.3101654,Denner Filiale
 Luterbach,47.216923,7.586435,Denner Express
 Leysin,46.3416867,7.0079412,Denner Satellit
 Chur,46.85067,9.51317,Denner Filiale
 Martigny,46.112169,7.0773432,Denner Filiale
 Schiers,46.97003,9.68404,Denner Filiale
 Flühli LU,46.8835716,8.0169516,Denner Satellit
 Uster,47.35809,8.70943,Denner Filiale
 Payerne,46.8211327,6.9362478,Denner Filiale
 Müstair,46.6348953,10.4582596,Denner Satellit
 Genève,46.2066452,6.1304343,Denner Express
 Schlieren,47.3968315,8.4487734,Denner Filiale
 Dübendorf,47.3984028,8.6180968,Denner Filiale
 Monthey,46.2540474,6.9519482,Denner Filiale
 Luzern,47.03707,8.32821,Denner Filiale
 Pompaples,46.6669686,6.5106889,Denner Partner
 Laufen,47.4199867,7.5014377,Denner Express
 Pfäffikon SZ,47.20056,8.79276,Denner Filiale
 Reinach BL,47.4926834,7.5928998,Denner Express
 Biel/Bienne,47.1318817,7.2526388,Denner Filiale
 Emmenbrücke,47.0754509,8.2768993,Denner Filiale
 Oberriet SG,47.31337,9.561925,Denner Partner
 Basel,47.5615616,7.5736594,Denner Filiale
 Ruswil,47.0883522,8.1127868,Denner Filiale
 Glattbrugg,47.42325,8.55869,Denner Filiale
 Erstfeld,46.8213463,8.6505833,Denner Partner
 Rennaz,46.3826485,6.9204822,Denner Filiale
 S. Bernardino,46.462317,9.192225,Denner Satellit
 Chavornay,46.7092972,6.5705862,Denner Partner
 Köniz,46.92477,7.41693,Denner Filiale
 Riehen,47.5855141,7.6503291,Denner Filiale
 Zürich,47.3700294,8.5084438,Denner Filiale
 Sierre,46.2901878,7.5254302,Denner Filiale
 Prilly,46.5273933,6.6028786,Denner Filiale
 Reinach BL,47.4904099,7.5891,Denner Filiale
 Visp,46.2915344,7.8877573,Denner Filiale
 Gstaad,46.47832,7.28245,Denner Filiale
 Zürich,47.3583974,8.571704,Denner Express
 Kirchberg b. WIL SG,47.4331512,9.0609608,Denner Filiale
 Rickenbach LU,47.220923,8.152199,Denner Satellit
 Konolfingen,46.8803139,7.6222582,Denner Filiale
 Petit-Lancy,46.1898232,6.1164699,Denner Express
 Davos 2,46.80201,9.83512,Denner Filiale
 Basel,47.5671387,7.5949221,Denner Express
 Wallisellen,47.4085007,8.5941753,Denner Filiale
 Bern-Bümpliz,46.9392357,7.3900661,Denner Filiale
 Giubiasco,46.1764048,9.0143171,Denner Filiale
 Zürich,47.3586769,8.5862675,Denner Filiale
 Sierre,46.2824099,7.51288,Denner Filiale
 Chernex,46.4442177,6.9113774,Denner Express
 Ste-Croix,46.8232803,6.5018201,Denner Satellit
 Les Acacias,46.1920979,6.1391911,Denner Filiale
 Basel,47.5435448,7.5921831,Denner Filiale
 Gland,46.4201317,6.2632279,Denner Filiale
 Matran,46.7791156,7.0885317,Denner Filiale
 Rolle,46.4611,6.33838,Denner Filiale
 Genève,46.2114487,6.1450276,Denner Filiale
 Lausanne,46.5227394,6.6270876,Denner Filiale
 Pfungen,47.51744,8.65,Denner Filiale
 Volketswil,47.3825136,8.6676223,Denner Filiale
 Schaffhausen,47.6988258,8.6348982,Denner Express
 Flamatt,46.8901901,7.3155823,Denner Filiale
 Deitingen,47.21274,7.61894,Denner Partner
 Zürich,47.4046326,8.5745907,Denner Filiale
 Frauenfeld,47.5567409,8.8813109,Denner Filiale
 Belp,46.8907013,7.4986639,Denner Filiale
 Erlenbach ZH,47.3069916,8.5904722,Denner Filiale
 Gansingen,47.5431595,8.1343746,Denner Satellit
 Zürich,47.4104989,8.5425877,Denner Filiale
 Sursee,47.1726265,8.1023188,Denner Filiale
 Liebefeld,46.93328,7.41926,Denner Filiale
 Breitenbach,47.408778,7.543369,Denner Filiale
 St. Gallen,47.4187965,9.3537045,Denner Filiale
 Thun,46.7447665,7.6044917,Denner Filiale
 Biel/Bienne,47.1358261,7.2480378,Denner Filiale
 Savigny,46.5391312,6.7307181,Denner Satellit
 Winterthur,47.4977535,8.7457004,Denner Filiale
 Zürich,47.3633881,8.5504379,Denner Express
 Lausanne,46.5274391,6.6327429,Denner Filiale
 Siebnen,47.176033,8.9018764,Denner Filiale
 Grancia,45.97206,8.92761,Denner Filiale
 Zürich,47.3990707,8.5328207,Denner Express
 Broc,46.6024857,7.1050053,Denner Express
 Pratteln,47.5215111,7.6928544,Denner Filiale
 Zürich,47.4113731,8.5264606,Denner Filiale
